@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
104,67706,147,67805,193,0.997162,0.997834,0.499635,0.997834,0.500365,0.66586,0.997497,1.000337,0.153333
105,67706,147,67804,194,0.997147,0.997834,0.499638,0.997834,0.500362,0.665864,0.99749,1.000345,0.153333
106,67705,148,67802,196,0.997118,0.997819,0.499642,0.997819,0.500358,0.665863,0.997468,1.000352,0.154599
107,67704,149,67802,196,0.997118,0.997804,0.499638,0.997804,0.500362,0.665857,0.99746,1.000344,0.154667
108,67704,149,67801,197,0.997103,0.997804,0.499642,0.997804,0.500358,0.66586,0.997453,1.000352,0.155
109,67702,151,67800,198,0.997088,0.997775,0.499638,0.997775,0.500362,0.66585,0.997431,1.000344,0.156508
110,67702,151,67799,199,0.997073,0.997775,0.499642,0.997775,0.500358,0.665854,0.997424,1.000352,0.156583
111,67701,152,67799,199,0.997073,0.99776,0.499638,0.99776,0.500362,0.665847,0.997416,1.000344,0.156818
112,67701,152,67798,200,0.997059,0.99776,0.499642,0.99776,0.500358,0.66585,0.997409,1.000352,0.156863
113,67701,152,67797,201,0.997044,0.99776,0.499646,0.99776,0.500354,0.665854,0.997402,1.000359,0.157576
114,67701,152,67796,202,0.997029,0.99776,0.499649,0.99776,0.500351,0.665857,0.997394,1.000367,0.157647
115,67700,153,67796,202,0.997029,0.997745,0.499646,0.997745,0.500354,0.66585,0.997387,1.000359,0.159286
116,67699,154,67796,202,0.997029,0.99773,0.499642,0.99773,0.500358,0.665844,0.997379,1.000352,0.159592
117,67699,154,67795,203,0.997015,0.99773,0.499646,0.99773,0.500354,0.665847,0.997372,1.000359,0.16
118,67633,220,67700,298,0.995618,0.996758,0.499752,0.996758,0.500248,0.665725,0.996187,1.000573,0.160714
119,67632,221,67700,298,0.995618,0.996743,0.499749,0.996743,0.500251,0.665718,0.99618,1.000565,0.161182
