@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
951,28194,39659,14766,53232,0.217153,0.415516,0.656285,0.415516,0.343715,0.508857,0.316229,1.313972,0.604651
952,28154,39699,14740,53258,0.216771,0.414926,0.656362,0.414926,0.343638,0.508438,0.315743,1.314127,0.60479
953,28100,39753,14689,53309,0.216021,0.414131,0.656711,0.414131,0.343289,0.507945,0.31497,1.314825,0.604839
954,28005,39848,14624,53374,0.215065,0.41273,0.656947,0.41273,0.343053,0.50696,0.313792,1.315298,0.605263
955,27972,39881,14607,53391,0.214815,0.412244,0.656944,0.412244,0.343056,0.506592,0.313424,1.315291,0.605769
956,27945,39908,14587,53411,0.214521,0.411846,0.657035,0.411846,0.342965,0.506319,0.313078,1.315473,0.605839
957,27935,39918,14564,53434,0.214183,0.411699,0.65731,0.411699,0.34269,0.506289,0.312835,1.316024,0.606061
958,27883,39970,14537,53461,0.213786,0.410932,0.657308,0.410932,0.342692,0.505709,0.312254,1.31602,0.606557
959,27804,40049,14485,53513,0.213021,0.409768,0.657476,0.409768,0.342524,0.504876,0.31129,1.316357,0.606695
960,27729,40124,14429,53569,0.212197,0.408663,0.65774,0.408663,0.34226,0.504113,0.310325,1.316885,0.607143
961,27717,40136,14408,53590,0.211889,0.408486,0.65797,0.408486,0.34203,0.504046,0.310082,1.317347,0.607843
962,27674,40179,14378,53620,0.211447,0.407852,0.65809,0.407852,0.34191,0.503599,0.309545,1.317586,0.608247
963,27627,40226,14344,53654,0.210947,0.40716,0.65824,0.40716,0.34176,0.503114,0.308949,1.317887,0.608696
964,27615,40238,14332,53666,0.210771,0.406983,0.658331,0.406983,0.341669,0.503005,0.308772,1.318068,0.609375
965,27573,40280,14292,53706,0.210183,0.406364,0.658617,0.406364,0.341383,0.502616,0.308169,1.318641,0.609756
966,27523,40330,14242,53756,0.209447,0.405627,0.658997,0.405627,0.341003,0.502162,0.307432,1.319402,0.610169
967,27499,40354,14235,53763,0.209344,0.405273,0.658911,0.405273,0.341089,0.501866,0.307204,1.31923,0.611111
968,27419,40434,14177,53821,0.208491,0.404094,0.659174,0.404094,0.340826,0.501037,0.306188,1.319757,0.611319
969,27250,40603,14029,53969,0.206315,0.401603,0.660142,0.401603,0.339858,0.499395,0.303855,1.321695,0.61165
970,27223,40630,14004,53994,0.205947,0.401206,0.66032,0.401206,0.33968,0.499138,0.303472,1.32205,0.611765
971,27205,40648,13977,54021,0.20555,0.40094,0.660604,0.40094,0.339396,0.499014,0.303141,1.32262,0.61194
972,27183,40670,13952,54046,0.205183,0.400616,0.660824,0.400616,0.339176,0.498826,0.302795,1.32306,0.612069
973,27172,40681,13943,54055,0.20505,0.400454,0.660878,0.400454,0.339122,0.498715,0.302648,1.323168,0.612245
974,27105,40748,13862,54136,0.203859,0.399466,0.66163,0.399466,0.33837,0.498162,0.301558,1.324674,0.612717
